status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk
14,18,31,41,1049,65,72,84,92,101,75,123,21,143,153,161,173,182,191,202,1
14,9,31,410,2799,65,73,82,93,101,73,124,36,143,153,162,173,181,191,202,1
11,12,30,48,841,61,74,82,92,101,75,124,23,143,153,161,172,182,191,202,1
14,12,31,410,2122,65,73,83,93,101,73,124,39,143,153,162,172,181,191,201,1
14,12,31,410,2171,65,73,84,93,101,75,123,38,141,151,162,172,182,191,201,1
14,10,31,410,2241,65,72,81,93,101,74,124,48,143,153,162,172,181,191,201,1
14,8,31,410,3398,65,74,81,93,101,75,124,39,143,151,162,172,182,191,201,1
14,6,31,410,1361,65,72,82,93,101,75,124,40,143,151,161,172,181,191,201,1
13,18,31,42,1098,65,71,84,92,101,75,122,65,143,151,162,171,182,191,202,1
11,24,30,42,3758,62,71,81,92,101,75,121,23,143,153,161,171,182,191,202,1
14,11,31,410,3905,65,73,82,93,101,73,124,36,143,153,162,173,181,191,202,1
14,30,31,40,6187,61,74,81,94,101,75,122,24,143,153,162,173,182,191,202,1
14,6,31,42,1957,65,74,81,92,101,75,122,31,143,151,161,173,182,191,202,1
11,48,32,49,7582,61,71,82,93,101,75,121,31,143,151,161,174,182,192,202,1
14,18,30,42,1936,64,74,82,94,101,75,122,23,143,153,162,172,182,191,202,1
14,6,30,42,2647,62,73,82,93,101,74,124,44,143,153,161,173,181,191,202,1
14,11,31,410,3939,65,73,81,93,101,73,124,40,143,151,162,172,181,191,202,1
11,18,30,42,3213,62,72,81,94,101,74,124,25,143,153,161,173,182,191,202,1
11,36,31,42,2337,65,75,84,93,101,75,124,36,143,151,161,173,182,191,202,1
13,11,31,410,7228,65,73,81,93,101,75,123,39,143,151,162,172,182,191,202,1
14,6,31,410,3676,65,73,81,93,101,74,124,37,143,153,163,173,181,191,202,1
11,12,31,410,3124,65,72,81,93,101,74,124,49,141,151,162,172,181,191,202,1
11,36,30,44,2384,65,72,84,93,101,72,121,33,143,153,161,172,182,191,202,0
11,12,31,43,1424,65,74,84,93,101,74,123,26,143,151,161,173,182,191,202,1
14,6,31,410,4716,64,72,81,93,101,74,124,44,143,151,162,172,181,191,202,1
11,11,32,42,4771,65,74,82,93,101,75,123,51,143,151,161,173,182,191,202,1
14,12,30,41,652,65,75,84,92,101,75,123,24,143,153,161,173,182,191,202,1
11,9,31,42,1154,65,75,82,93,101,75,124,37,143,151,163,172,182,191,202,1
13,15,30,410,3556,64,73,83,93,101,73,121,29,143,151,161,173,182,191,202,1
12,42,31,40,4796,65,75,84,93,101,75,121,56,143,152,161,173,182,191,202,1
12,30,31,42,3017,65,75,84,93,101,75,123,47,143,151,161,173,182,191,202,1
13,36,31,410,3535,65,74,84,93,101,75,122,37,143,151,162,173,182,192,202,1
13,36,31,410,6614,65,75,84,93,101,75,122,34,143,151,162,174,182,192,202,1
13,24,30,42,1376,62,74,84,92,101,72,122,28,143,151,161,173,182,191,202,1
14,15,30,410,1721,65,72,82,93,101,74,124,36,143,151,161,173,182,191,202,1
14,6,31,410,860,65,75,81,92,101,75,121,39,143,151,162,173,182,192,202,1
13,12,31,410,1495,65,75,84,93,101,72,124,38,143,151,162,172,181,191,202,1
13,12,31,42,1934,65,75,82,93,101,73,121,26,143,151,162,173,182,191,202,1
13,18,30,40,3378,64,73,82,93,101,72,123,31,143,151,161,173,182,192,202,1
13,24,31,40,3868,65,75,84,92,101,73,122,41,143,153,162,174,182,192,202,1
13,12,31,44,996,64,74,84,92,101,75,124,23,143,151,162,173,182,191,202,1
14,24,30,49,1755,65,75,84,92,103,75,124,58,143,151,161,172,182,192,202,1
13,18,31,410,1028,65,73,84,92,101,74,124,36,143,151,162,173,182,191,202,1
11,24,31,48,2825,64,74,84,93,101,74,121,34,143,151,162,173,181,192,202,1
11,18,30,45,1239,64,73,84,93,101,75,121,61,143,152,161,173,182,191,202,1
14,18,30,410,1216,65,72,84,92,101,74,122,23,143,153,161,173,182,192,202,0
13,24,30,48,1258,65,74,84,93,101,72,124,25,143,151,161,173,182,192,202,1
13,18,31,45,1864,61,73,84,92,101,73,124,30,143,151,162,173,182,191,202,0
